timestamp,label,requested_count,published_count,fcm_total_delta,fcm_success_delta,fcm_failure_delta,producer_elapsed_millis,end_to_end_elapsed_seconds,throughput_msg_per_second,fcm_response_delay_ms,fcm_failure_rate_percent
2026-06-14T14:55:23,pipeline-p10-b500-d50-f0,10000,10000,10000,10000,0,178,589.0,16.978,50,0.0
2026-06-14T19:39:55,pipeline-batch-10000,10000,10000,10000,9798,202,169,1.698,5888.581,50,2.0
2026-06-14T19:47:19,pipeline-batch-10000,10000,10000,10000,10000,0,162,1.701,5879.209,50,0.0
2026-06-14T19:58:39,pipeline-batch-clean-10000-d50-f0,10000,10000,10000,10000,0,127,1.672,5981.84,50,0.0
2026-06-14T20:28:18,pipeline-batch-10000-d20-f0,10000,10000,10000,10000,0,126,1.152,8682.134,20,0.0
2026-06-14T20:28:47,pipeline-batch-10000-d50-f0,10000,10000,10000,10000,0,101,1.641,6095.309,50,0.0
2026-06-14T20:29:11,pipeline-batch-10000-d100-f0,10000,10000,10000,10000,0,99,2.655,3767.124,100,0.0
2026-06-14T20:51:51,pipeline-batchsize-100-d50-f0,10000,10000,10000,10000,0,129,6.226,1606.088,50,0.0
2026-06-14T20:52:23,pipeline-batchsize-200-d50-f0,10000,10000,10000,10000,0,111,3.675,2721.415,50,0.0
2026-06-14T20:52:44,pipeline-batchsize-500-d50-f0,10000,10000,10000,10000,0,114,1.653,6048.868,50,0.0
